CountryName,CountryCode,FeFertilityRate2020,FeLabourRate2020,FeSchoolEnrol2020,FeLifeExpect2020,DeathRateInfant2020
Aruba,ABW,1.325,,,78.445,
Africa Eastern and Southern,AFE,4.416901568,63.75631739,40.18693924,65.83646047,43.02777794
Afghanistan,AFG,4.75,16.46299934,,65.432,44.8
Africa Western and Central,AFW,5.049329378,53.79598188,,58.34623979,62.16517749
Angola,AGO,5.371,74.27999878,,64.982,48.7
Albania,ALB,1.4,49.61999893,95.33236694,79.676,8.4
Andorra,AND,,,,,2.7
Arab World,ARB,3.186002779,19.42009085,70.7130127,73.11271122,26.31614633
United Arab Emirates,ARE,1.46,60.99200058,104.0010071,81.112,5.6
Argentina,ARG,1.911,46.50600052,112.555481,79.285,6.8
Armenia,ARM,1.575,57.56999969,89.28144073,76.996,10
American Samoa,ASM,,,,,
Antigua and Barbuda,ATG,1.569,,,81.316,5.3
Australia,AUS,1.581,60.19200134,131.8065948,85.3,3.2
Austria,AUT,1.44,55.62900162,99.41014099,83.6,3
Azerbaijan,AZE,1.7,64.72899628,93.08335876,70.998,17.4
Burundi,BDI,5.177,79.89700317,52.24766159,63.675,38.8
Belgium,BEL,1.55,49.33599854,161.112915,83.1,3.4
Benin,BEN,5.048,55.79199982,42.43687057,61.485,56.6
Burkina Faso,BFA,4.869,57.2480011,41.7809906,61.598,53
Bangladesh,BGD,2.003,36.54299927,81.48804474,73.957,24.1
Bulgaria,BGR,1.56,49.18799973,86.96476746,77.5,5.4
Bahrain,BHR,1.832,42.9679985,,80.433,6
"Bahamas, The",BHS,1.394,63.51300049,,76.27,11.5
Bosnia and Herzegovina,BIH,1.359,36.00899887,,78.414,5
Belarus,BLR,1.382,57.49499893,102.6728592,79.4,2.2
Belize,BLZ,1.999,47.91199875,86.85411072,76.626,10.1
Bermuda,BMU,1.3,,,86,
Bolivia,BOL,2.651,59.3370018,89.73236084,67.841,20.9
Brazil,BRA,1.649,49.48699951,106.5199203,77.375,13.1
Barbados,BRB,1.628,57.1780014,105.6903305,79.21,11.4
Brunei Darussalam,BRN,1.796,54.70299911,92.90856934,77.033,9.6
Bhutan,BTN,1.433,52.67399979,,73.536,23.1
Botswana,BWA,2.836,57.48300171,,68.051,29
Central African Republic,CAF,5.985,62.67900085,,56.757,77.2
Canada,CAN,1.4,59.50899887,115.5129395,83.9,4.5
Central Europe and the Baltics,CEB,1.510058548,48.97633984,102.4554901,80.03488085,3.955419369
Switzerland,CHE,1.46,62.50600052,99.73245239,85.2,3.4
Channel Islands,CHI,1.447,51.13600159,,83.387,
Chile,CHL,1.537,44.59600067,103.1575394,82.041,5.9
China,CHN,1.281,59.09899902,,81.058,5.5
Cote d'Ivoire,CIV,4.472,55.73300171,52.00867081,60.351,57.5
Cameroon,CMR,4.543,66.58000183,42.0494957,62.633,48.5
"Congo, Dem. Rep.",COD,6.206,61.9679985,,61.7,64.1
"Congo, Rep.",COG,4.234,66.21299744,,65.397,32.9
Colombia,COL,1.737,50.18999863,103.9836731,78.136,11.4
Comoros,COM,4.052,32.71300125,,66.593,40.4
Cabo Verde,CPV,1.908,47.56999969,,79.16,12.2
Costa Rica,CRI,1.555,48.49200058,148.0342102,81.912,6.7
Caribbean small states,CSS,1.672806111,52.12660399,89.9348526,75.45105918,14.74243928
Cuba,CUB,1.5,38.82300186,100.2862396,80.225,4.1
Curacao,CUW,1.6,,122.5367432,,
Cayman Islands,CYM,,,,,
Cyprus,CYP,1.328,56.39599991,99.83450317,83.448,2.3
Czechia,CZE,1.71,51.81600189,101.4377213,81.3,2.3
Germany,DEU,1.53,55.56000137,94.72595215,83.4,3.1
Djibouti,DJI,2.848,17.53700066,55.23376846,65.461,47.2
Dominica,DMA,,,102.8758163,,31.7
Denmark,DNK,1.67,57.75,130.3696442,83.6,3.2
Dominican Republic,DOM,2.303,47.26200104,83.08480835,76.914,27.8
Algeria,DZA,2.942,15.40200043,,75.912,19.6
East Asia & Pacific (excluding high income),EAP,1.597247333,57.69280796,87.63981628,78.84361169,12.55445039
Early-demographic dividend,EAR,2.377594509,32.76969294,76.49890137,72.28975285,27.03250292
East Asia & Pacific,EAS,1.560024491,57.28272081,88.88722229,79.70306417,11.9
Europe & Central Asia (excluding high income),ECA,1.864480596,49.85944079,98.00115204,76.41710133,9.93530323
Europe & Central Asia,ECS,1.671772153,50.99483012,103.6221771,80.33250631,6.8
Ecuador,ECU,2.051,48.29499817,101.8168182,76.056,11.1
"Egypt, Arab Rep.",EGY,2.96,14.48400021,,73.39,16.8
Euro area,EMU,1.485312549,50.71062879,106.977478,84.19022643,3.028974099
Eritrea,ERI,3.933,70.11799622,,69.337,29.7
Spain,ESP,1.23,51.08800125,126.6948166,85.1,2.6
Estonia,EST,1.58,57.13999939,117.6557083,82.7,1.7
Ethiopia,ETH,4.243,73.94999695,,68.426,35.4
European Union,EUU,1.495548358,50.50284345,108.7006073,83.3261692,3.222112817
Fragile and conflict affected situations,FCS,4.412237681,48.93433528,,64.04398425,52.73124558
Finland,FIN,1.37,55.22399902,151.3038788,85,1.8
Fiji,FJI,2.495,37.74399948,98.77235413,69.743,23.1
France,FRA,1.83,50.62599945,104.6452789,85.3,3.4
Faroe Islands,FRO,2.3,,,85.5,
"Micronesia, Fed. Sts.",FSM,2.754,,,74.54,21.6
Gabon,GAB,3.548,37.59199905,,69.116,29.8
United Kingdom,GBR,1.56,58.60699844,118.3015823,82.9,3.7
Georgia,GEO,1.971,55.11500168,103.0864334,77.874,8.5
Ghana,GHA,3.623,64.69300079,77.83895111,66.385,33.5
Gibraltar,GIB,1.855,,94.55184937,84.112,
Guinea,GIN,4.489,41.84999847,,60.449,65.4
"Gambia, The",GMB,4.777,55.56100082,,64.235,34.9
Guinea-Bissau,GNB,4.094,48.40299988,,62.265,51.5
Equatorial Guinea,GNQ,4.346,49.80099869,,62.943,58.8
Greece,GRC,1.34,43.79999924,103.052948,83.7,3.4
Grenada,GRD,2.023,,115.224823,77.869,14.6
Greenland,GRL,2.019,,,73.31,
Guatemala,GTM,2.484,35.80799866,49.91170883,75.545,20.2
Guam,GUM,2.593,55.90999985,,81.868,
Guyana,GUY,2.418,38.85599899,,72.118,23.9
High income,HIC,1.529637541,52.9734835,105.4722595,83.03085342,4.2
"Hong Kong SAR, China",HKG,0.868,54.11199951,107.5876923,88,
Honduras,HND,2.394,47.51499939,,73.987,14.7
Heavily indebted poor countries (HIPC),HPC,4.691540376,59.32341464,38.67753983,65.0434798,46.92066224
Croatia,HRV,1.48,44.63800049,103.2752075,80.9,4
Haiti,HTI,2.869,61.46099854,,67.118,46.7
Hungary,HUN,1.56,48.16400146,102.7785492,79.1,3.4
IBRD only,IBD,1.86670366,43.3440574,85.79621887,76.15304935,17.93908222
IDA & IBRD total,IBT,2.418166129,44.53949291,72.89778137,73.398237,31.18454161
IDA total,IDA,3.995936746,48.73065105,47.25965118,65.73756964,48.14352911
IDA blend,IDB,4.132532133,44.19142901,47.13740921,62.75918929,56.79798498
Indonesia,IDN,2.194,53.16699982,,70.982,19.5
IDA only,IDX,3.928809627,50.96312444,47.32249069,67.22316979,43.68452257
Isle of Man,IMN,1.569,,,82.536,
